País;Quantidade de Litros Exportados;Valor de Litros Exportados;Média US$ por Litro
Alemanha;913857;2578247;2.8212805723433756
China;2583375;4929621;1.908209609522427
Espanha;1993180;3812723;1.9128844359265094
Estados Unidos;3793194;10113658;2.6662643671797435
Haiti;2351248;3198869;1.36049833960518
Japao;1204634;2435496;2.0217725881886115
Paises Baixos;1238398;3796569;3.0657098929423334
Paraguai;32995148;44236294;1.340690879762079
Reino Unido;1250877;4796011;3.834118782262365
Russia;39029799;25504484;0.6534618330983463
